Sectorizacion;Sector;Volumen;Nucleo
6O;LECPF12;DSX;Palma APP
6O;LECPF12;DW1;Palma APP
6O;LECPF12;DW2;Palma APP
6O;LECPF12;LNX;Palma APP
6O;LECPF12;LSX;Palma APP
6O;LECPGOX;GXX;Palma APP
6O;LECPGOX;OXX;Palma APP
6O;LECPIAW;IA24;Palma APP
6O;LECPIAW;IAX;Palma APP
6O;LECPIRW;IA06;Palma APP
6O;LECPIRW;IRX;Palma APP
6O;LECPMXX;MXX;Palma APP
6P;LECPAPP;APP;Palma APP
6P;LECPF12;DE1;Palma APP
6P;LECPF12;DE2;Palma APP
6P;LECPF12;DSX;Palma APP
6P;LECPF12;DW1;Palma APP
6P;LECPF12;DW2;Palma APP
6P;LECPF12;LNX;Palma APP
6P;LECPF12;LSX;Palma APP
6P;LECPGOX;GXX;Palma APP
6P;LECPGOX;OXX;Palma APP
6P;LECPIAE;IA06;Palma APP
6P;LECPIAE;IAX;Palma APP
6P;LECPIRE;IA24;Palma APP
6P;LECPIRE;IRX;Palma APP
6P;LECPMXX;MXX;Palma APP
7A;LECPAPP;APP;Palma APP
7A;LECPDWX;DSX;Palma APP
7A;LECPDWX;DW1;Palma APP
7A;LECPDWX;DW2;Palma APP
7A;LECPGOX;GXX;Palma APP
7A;LECPGOX;OXX;Palma APP
7A;LECPIXX;IA06;Palma APP
7A;LECPIXX;IA24;Palma APP
7A;LECPIXX;IAX;Palma APP
7A;LECPIXX;IRX;Palma APP
7A;LECPL1W;DE1;Palma APP
7A;LECPL1W;LNX;Palma APP
7A;LECPL2W;DE2;Palma APP
7A;LECPL2W;LSX;Palma APP
7A;LECPMXX;MXX;Palma APP
7B;LECPAPP;APP;Palma APP
7B;LECPDEX;DE1;Palma APP
7B;LECPDEX;DE2;Palma APP
7B;LECPDEX;DSX;Palma APP
7B;LECPGOX;GXX;Palma APP
7B;LECPGOX;OXX;Palma APP
7B;LECPIXX;IA06;Palma APP
7B;LECPIXX;IA24;Palma APP
7B;LECPIXX;IAX;Palma APP
7B;LECPIXX;IRX;Palma APP
7B;LECPL1E;DW1;Palma APP
7B;LECPL1E;LNX;Palma APP
7B;LECPL2E;DW2;Palma APP
7B;LECPL2E;LSX;Palma APP
7B;LECPMXX;MXX;Palma APP
7C;LECPAPP;APP;Palma APP
7C;LECPDWO;DSX;Palma APP
7C;LECPDWO;DW1;Palma APP
7C;LECPDWO;DW2;Palma APP
7C;LECPDWO;OXX;Palma APP
7C;LECPGXX;GXX;Palma APP
7C;LECPIXX;IA06;Palma APP
7C;LECPIXX;IA24;Palma APP
7C;LECPIXX;IAX;Palma APP
7C;LECPIXX;IRX;Palma APP
